Time,Charging profile at origin (MW),Number of cars charging at origin,Charging profile at destination (MW),Number of cars charging at destination,Total (MW)
7.800000000000001,0.0,0.0,120.88841653973813,47094.0,120.88841653973813
7.9,0.0,0.0,120.88841653973813,50021.0,120.88841653973813
8.0,0.0,0.0,120.88841653973813,52978.0,120.88841653973813
8.1,0.0,0.0,120.88841653973813,55778.0,120.88841653973813
8.200000000000001,0.0,0.0,120.88877267535999,58450.0,120.88877267535999
8.3,0.0,0.0,120.88877267535999,60936.0,120.88877267535999
8.4,0.0,0.0,120.88877267535999,63320.0,120.88877267535999
8.5,0.0,0.0,120.88877267535999,65507.0,120.88877267535999
8.6,0.0,0.0,120.88877267535999,67423.0,120.88877267535999
8.700000000000001,0.0,0.0,120.88877267535999,69219.0,120.88877267535999
8.8,0.0,0.0,120.88877267535999,70695.0,120.88877267535999
8.9,0.0,0.0,120.88877267535999,71917.0,120.88877267535999
9.0,0.0,0.0,120.88877267535999,72831.0,120.88877267535999
9.1,0.0,0.0,120.88877267535999,73349.0,120.88877267535999
9.200000000000001,0.0,0.0,120.88877267535999,73752.0,120.88877267535999
9.3,0.0,0.0,120.88877267535999,73796.0,120.88877267535999
9.4,0.0,0.0,120.88877267535999,73483.0,120.88877267535999
9.5,0.0,0.0,120.88877267535999,72960.0,120.88877267535999
9.600000000000001,0.0,0.0,120.88877267535999,72175.0,120.88877267535999
9.700000000000001,0.0,0.0,120.88877267535999,71200.0,120.88877267535999
9.8,0.0,0.0,120.88877267535999,69934.0,120.88877267535999
9.9,0.0,0.0,120.88877267535999,68420.0,120.88877267535999
10.0,0.0,0.0,120.88877267535999,66703.0,120.88877267535999
10.100000000000001,0.0,0.0,120.88877267535999,64852.0,120.88877267535999
10.200000000000001,0.0,0.0,120.88877267535999,62837.0,120.88877267535999
10.3,0.0,0.0,120.88877267535999,60622.0,120.88877267535999
10.4,0.0,0.0,120.88877267535999,58290.0,120.88877267535999
10.5,0.0,0.0,120.88877267535999,55849.0,120.88877267535999
10.600000000000001,0.0,0.0,120.88877267535999,53444.0,120.88877267535999
10.700000000000001,0.0,0.0,120.88877267535999,50909.0,120.88877267535999
10.8,0.0,0.0,120.88877267535999,48471.0,120.88877267535999
10.9,0.0,0.0,120.88877267535999,45872.0,120.88877267535999
11.0,0.0,0.0,120.88877267535999,43240.0,120.88877267535999
11.100000000000001,0.0,0.0,120.88877267535999,40608.0,120.88877267535999
11.200000000000001,0.0,0.0,120.88877267535999,38057.0,120.88877267535999
11.3,0.0,0.0,120.88877267535999,35700.0,120.88877267535999
11.4,0.0,0.0,120.88877267535999,33280.0,120.88877267535999
11.5,0.0,0.0,120.88877267535999,30922.0,120.88877267535999
11.600000000000001,0.0,0.0,120.88877267535999,28596.0,120.88877267535999
11.700000000000001,0.0,0.0,120.88877267535999,26479.0,120.88877267535999
11.8,0.0,0.0,120.88877267535999,24346.0,120.88877267535999
11.9,0.0,0.0,120.88877267535999,22396.0,120.88877267535999
12.0,0.0,0.0,120.88877267535999,20467.0,120.88877267535999
12.100000000000001,0.0,0.0,120.88877267535999,18761.0,120.88877267535999
12.200000000000001,0.0,0.0,120.88877267535999,17236.0,120.88877267535999
12.3,0.0,0.0,120.88877267535999,15713.0,120.88877267535999
12.4,0.0,0.0,120.88877267535999,14301.0,120.88877267535999
12.5,0.0,0.0,120.88877267535999,12889.0,120.88877267535999
12.600000000000001,0.0,0.0,120.88877267535999,11669.0,120.88877267535999
12.700000000000001,0.0,0.0,120.88877267535999,10506.0,120.88877267535999
12.8,0.0,0.0,120.88877267535999,9476.0,120.88877267535999
12.9,0.0,0.0,120.88877267535999,8563.0,120.88877267535999
13.0,0.0,0.0,120.88877267535999,7718.0,120.88877267535999
13.100000000000001,0.0,0.0,120.88877267535999,6958.0,120.88877267535999
13.200000000000001,0.0,0.0,120.88877267535999,6164.0,120.88877267535999
13.3,0.0,0.0,120.88877267535999,5556.0,120.88877267535999
13.4,0.0,0.0,120.88877267535999,5009.0,120.88877267535999
13.5,0.0,0.0,120.88877267535999,4550.0,120.88877267535999
13.600000000000001,0.0,0.0,120.88877267535999,4157.0,120.88877267535999
13.700000000000001,0.0,0.0,120.88877267535999,3847.0,120.88877267535999
13.8,0.0,0.0,120.88877267535999,3614.0,120.88877267535999
13.9,0.0,0.0,120.88877267535999,3498.0,120.88877267535999
14.0,0.0,0.0,120.88877267535999,3427.0,120.88877267535999
14.100000000000001,0.0,0.0,120.88877267535999,3404.0,120.88877267535999
14.200000000000001,0.0,0.0,120.88877267535999,3453.0,120.88877267535999
14.3,0.0,0.0,120.88877267535999,3619.0,120.88877267535999
